Number,ScientificName,Order
2015_001,Arabidopsis thaliana,Brassicales
2015_002,Oryza sativa ssp. indica,Poales
2015_003,Oryza sativa ssp. japonica,Poales
2015_004,Populus trichocarpa,Malpighiales
2015_005,Vitis vinifera,Vitales
2015_008,Cucumis sativus,Cucurbitales
2015_009,Sorghum bicolor,Poales
2015_010,Zea mays,Poales
2015_011,Fragaria vesca,Rosales
2015_012,Brachypodium distachyon,Poales
2015_013,Ricinus communis,Malpighiales
2015_014,Jatropha curcas,Malpighiales
2015_015,Theobroma cacao,Malvales
2015_016,Malus domestica,Rosales
2015_017,Glycine max,Fabales
2015_018,Thellungiella parvula,Brassicales
2015_019,Arabidopsis lyrata,Brassicales
2015_020,Medicago truncatula,Fabales
2015_021,Brassica rapa,Brassicales
2015_023,Phoenix dactylifera,Arecales
2015_024,Cannabis sativa,Rosales
2015_025,Cajanus cajan,Fabales
2015_027,Prunus mume,Rosales
2015_029,Citrus sinensis,Sapindales
2015_030,Linum usitatissimum,Malpighiales
2015_031,Citrullus lanatus,Cucurbitales
2015_032,Cucumis melo,Cucurbitales
2015_034,Setaria italica,Poales
2015_036,Pyrus bretschneideri,Rosales
2015_037,Solanum pimpinellifolium,Solanales
2015_038,Manihot esculenta,Malpighiales
2015_039,Gossypium raimondii,Malvales
2015_040,Solanum lycopersicum,Solanales
2015_041,Nicotiana benthamiana,Solanales
2015_042,Hordeum vulgare,Poales
2015_046,Capsella grandiflora,Brassicales
2015_047,Capsella rubella,Brassicales
2015_048,Aethionema arabicum,Brassicales
2015_049,Eutrema salsugineum,Brassicales
2015_051,Prunus persica,Rosales
2015_052,Tarenaya hassleriana,Brassicales
2015_053,Oryza brachyantha,Poales
2015_055,Erythranthe guttatus,Lamiales
2015_056,Morus notabilis,Rosales
2015_057,Musa balbisiana,Zingiberales
2015_058,Populus euphratica,Malpighiales
2015_060,Beta vulgaris,Caryophyllales
2015_061,Cicer arietinum,Fabales
2015_062,Amborella trichopoda,Amborellales
2015_063,Actinidia chinensis,Ericales
2015_064,Nelumbo nucifera,Proteales
2015_065,Lupinus angustifolius,Fabales
2015_066,Elaeis guineensis,Arecales
2015_067,Phyllostachys edulis,Poales
2015_068,Hevea brasiliensis,Malpighiales
2015_069,Nicotiana sylvestris,Solanales
2015_070,Nicotiana tomentosiformis,Solanales
2015_071,Aegilops tauschii,Poales
2015_074,Spirodela polyrhiza,Alismatales
2015_075,Arabidopsis halleri,Brassicales
2015_076,Citrus clementina,Sapindales
2015_078,Sesamum indicum,Lamiales
2015_079,Oryza glumaepatula,Poales
2015_080,Oryza barthii,Poales
2015_082,Oryza nivara,Poales
2015_083,Oryza glaberrima,Poales
2015_084,Trifolium pratense,Fabales
2015_085,Salix suchowensis,Malpighiales
2015_086,Ziziphus jujuba,Rosales
2015_087,Amaranthus hypochondriacus,Caryophyllales
2015_088,Vaccinium macrocarpon,Ericales
2015_089,Raphanus raphanistrum,Brassicales
2015_090,Raphanus sativus,Brassicales
2015_092,Vigna radiata,Fabales
2015_093,Phaseolus vulgaris,Fabales
2015_094,Pyrus communis,Rosales
2015_095,Brassica oleracea,Brassicales
2015_096,Eucalyptus grandis,Myrtales
2015_098,Coffea canephora,Gentianales
2015_100,Camelina sativa,Brassicales
2015_101,Brassica napus,Brassicales
2015_102,Solanum melongena,Solanales
2015_103,Phalaenopsis equestris,Asparagales
2015_104,Solanum pennellii,Solanales
2015_105,Gossypium arboreum,Malvales
2015_109,Capsicum annuum,Solanales
2015_110,Nicotiana tabacum,Solanales
2015_111,Triticum aestivum,Poales
2015_112,Glycine soja,Fabales
2015_114,Moringa oleifera,Brassicales
2015_116,Arabis alpina,Brassicales
2015_120,Vaccinium corymbosum,Ericales
2015_121,Ipomoea trifida,Solanales
2015_122,Ananas comosus,Poales
2015_123,Vigna angularis,Fabales
2015_124,Thlaspi arvense,Brassicales
2015_125,Zizania latifolia,Poales
2015_126,Salvia miltiorrhiza,Lamiales
2015_127,Catharanthus roseus,Gentianales
2015_128,Solanum commersonii,Solanales
2015_131,Lolium perenne,Poales
2015_132,Gossypium hirsutum,Malvales
2015_133,Gossypium barbadense,Malvales
2015_134,Hordeum vulgare var. nudum,Poales
2016_001,Ginkgo biloba ,Ginkgoales
2016_002,Cardamine hirsuta,Brassicales
2016_003,Zostera marina,Alismatales
2016_006,Rubus occidentalis,Rosales
2016_007,Momordica charantia,Cucurbitales
2016_011,Glycyrrhiza uralensis,Fabales
2016_014,Daucus carota,Apiales
2016_016,Brassica nigra,Brassicales
2016_017,Juglans regia,Fagales
2016_018,Musa itinerans,Zingiberales
2016_019,Macadamia integrifolia,Proteales
2016_021,Quercus lobata,Fagales
2016_023,Ipomoea nil,Solanales
2016_025,Cicer reticulatum,Fabales
2016_026,Fraxinus excelsior,Lamiales
2016_028,Brassica juncea,Brassicales
2016_029,Cynara cardunculus,Asterales
2016_030,Dendrobium catenatum,Asparagales
2016_031,Arachis duranensis,Fabales
2016_033,Olea europaea,Lamiales
2016_034,Petunia inflata,Solanales
2016_035,Petunia axillaris,Solanales
2016_036,Chenopodium quinoa,Caryophyllales
2016_037,Arachis ipaensis,Fabales
2016_038,Pogostemon cablin,Lamiales
2016_039,Hibiscus syriacus,Malvales
2016_040,Trifolium subterranum,Fabales
2017_002,Calotropis gigantea,Gentianales
2017_003,Kalanchoe fedtschenkoi,Saxifragales
2017_005,Rhizophora apiculata,Malpighiales
2017_006,Cucurbita pepo,Cucurbitales
2017_007,Xerophyta viscosa,Pandanales
2017_008,Atalantia buxifolia,Sapindales
2017_009,Lagenaria siceraria,Cucurbitales
2017_010,Prunus avium,Rosales
2017_012,Punica granatum,Myrtales
2017_013,Citrus unshiu,Sapindales
2017_014,Cucurbita moschata,Cucurbitales
2017_015,Citrus grandis,Sapindales
2017_016,Cucurbita maxima,Cucurbitales
2017_017,Citrus ichangensis,Sapindales
2017_018,Corchorus capsularis,Malvales
2017_019,Citrus medica,Sapindales
2017_020,Capsella bursa-pastoris,Brassicales
2017_021,Rhodiola crenulata,Saxifragales
2017_022,Betula pendula,Fagales
2017_023,Corchorus olitorius,Malvales
2017_024,Boehmeria nivea,Rosales
2017_025,Apostasia shenzhenica,Asparagales
2017_026,Dimocarpus longan,Sapindales
2017_028,Eschscholzia californica,Ranunculales
2017_029,Camptotheca acuminata,Cornales
2017_030,Macleaya cordata,Ranunculales
2017_031,Handroanthus impetiginosus,Lamiales
2017_033,Populus pruinosa,Malpighiales
2017_035,Rhododendron delavayi,Ericales
2017_036,Durio zibethinus,Malvales
2017_037,Rosa multiflora,Rosales
2017_039,Spinacia oleracea,Caryophyllales
2017_040,Taraxacum kok-saghyz,Asterales
2017_043,Eucommia ulmoides,Garryales
2017_046,Echinochloa crus-galli,Poales
2017_047,Eleusine coracana,Poales
2017_048,Olea europaea var. sylvestris,Lamiales
2017_049,Nicotiana obtusifolia,Solanales
2017_050,Cephalotus follicularis,Oxalidales
2017_055,Lactuca sativa,Asterales
2017_056,Nicotiana attenuata,Solanales
2017_058,Capsicum chinense,Solanales
2017_059,Panax ginseng,Apiales
2017_060,Helianthus annuus,Asterales
2017_061,Capsicum baccatum,Solanales
2017_062,Secale cereale,Poales
2017_063,Triticum turgidum,Poales
2018_001,Gnetum montanum,Gnetales
2018_003,Boechera retrofracta,Brassicales
2018_004,Lindernia subracemosa,Lamiales
2018_005,Dryas drummondii,Rosales
2018_006,Prunus yedoensis,Rosales
2018_007,Lindernia brevidens,Lamiales
2018_008,Cuscuta australis,Solanales
2018_010,Casuarina equisetifolia,Fagales
2018_011,Cercis canadensis,Fabales
2018_012,Aquilegia coerulea,Ranunculales
2018_013,Gelsemium sempervirens,Gentianales
2018_014,Casuarina glauca,Fagales
2018_015,Morella rubra,Fagales
2018_016,Leersia perrieri,Poales
2018_017,Sclerocarya birrea,Sapindales
2018_018,Citrus reticulata,Sapindales
2018_019,Ostrya chinensis,Fagales
2018_020,Ostrya rehderiana,Fagales
2018_021,Eutrema heterophyllum,Brassicales
2018_022,Potentilla micrantha,Rosales
2018_023,Eutrema yunnanense,Brassicales
2018_024,Oryza punctata,Poales
2018_025,Populus tremula,Malpighiales
2018_026,Oryza rufipogon,Poales
2018_028,Tectona grandis,Lamiales
2018_029,Primula vulgaris,Ericales
2018_030,Nissolia schottii,Fabales
2018_031,Ipomoea triloba,Solanales
2018_032,Panicum hallii,Poales
2018_033,Trema orientalis,Rosales
2018_034,Populus alba,Malpighiales
2018_035,Fagus sylvatica,Fagales
2018_036,Chamaecrista fasciculata,Fabales
2018_037,Vigna subterranea,Fabales
2018_038,Populus tremuloides,Malpighiales
2018_039,Rosa chinensis,Rosales
2018_040,Parasponia andersonii,Rosales
2018_043,Cuscuta campestris,Solanales
2018_044,Juglans cathayensis,Fagales
2018_045,Juglans nigra,Fagales
2018_046,Juglans sigillata,Fagales
2018_047,Pterocarya stenoptera,Fagales
2018_048,Ochetophila trinervis,Rosales
2018_049,Faidherbia albida,Fabales
2018_050,Salvia splendens,Lamiales
2018_051,Osmanthus fragrans,Lamiales
2018_053,Oryza granulata,Poales
2018_054,Bombax ceiba,Malvales
2018_055,Datisca glomerata,Cucurbitales
2018_057,Solanum chacoense,Solanales
2018_058,Ammopiptanthus nanus,Fabales
2018_060,Quercus suber,Fagales
2018_061,Begonia fuchsioides,Cucurbitales
2018_065,Phalaenopsis aphrodite,Asparagales
2018_066,Vernicia fordii,Malpighiales
2018_067,Coffea arabica,Gentianales
2018_068,Daemonorops jenkinsiana,Arecales
2018_069,Artemisia annua,Asterales
2018_070,Liriodendron chinense,Magnoliales
2018_073,Arachis monticola,Fabales
2018_074,Papaver somniferum,Ranunculales
2018_075,Chrysanthemum nankingense,Asterales
2018_078,Saccharum spontaneum,Poales
2018_081,Musa schizocarpa,Zingiberales
2019_003,Prunus dulcis,Rosales
2019_005,Fragaria iinumae,Rosales
2019_006,Utricularia reniformis,Lamiales
2019_007,Gelsemium elegans,Gentianales
2019_010,Abrus precatorius,Fabales
2019_012,Scutellaria baicalensis,Lamiales
2019_013,Nymphaea colorata,Nymphaeales
2019_015,Salix brachista,Malpighiales
2019_016,Chenopodium pallidicaule,Caryophyllales
2019_017,Xanthoceras sorbifolium,Sapindales
2019_019,Populus glandulosa,Malpighiales
2019_020,Vitis riparia,Vitales
2019_021,Pyrus betulifolia,Rosales
2019_023,Pistacia vera,Sapindales
2019_025,Vigna unguiculata,Fabales
2019_027,Ananas bracteatus,Poales
2019_029,Striga asiatica,Lamiales
2019_030,Sedum album,Saxifragales
2019_033,Acer yangbiense,Sapindales
2019_034,Olyra latifolia,Poales
2019_035,Beta patula,Caryophyllales
2019_036,Carya illinoinensis,Fagales
2019_038,Eragrostis curvula,Poales
2019_041,Luffa cylindrica,Cucurbitales
2019_042,Actinidia eriantha,Ericales
2019_043,Piper nigrum,Piperales
2019_044,Malus baccata,Rosales
2019_045,Spatholobus suberectus,Fabales
2019_046,Castanea mollissima,Fagales
2019_047,Artocarpus altilis,Rosales
2019_048,Cinnamomum kanehirae,Laurales
2019_049,Bonia amplexicaulis,Poales
2019_050,Diospyros oleifera,Ericales
2019_052,Gossypium turneri,Malvales
2019_054,Solanum chilense,Solanales
2019_056,Nyssa sinensis,Cornales
2019_057,Artocarpus heterophyllus,Rosales
2019_058,Benincasa hispida,Cucurbitales
2019_061,Solanum aethiopicum,Solanales
2019_066,Coix aquatica,Poales
2019_068,Trochodendron aralioides,Trochodendrales
2019_070,Coriandrum sativum,Apiales
2019_072,Arachis hypogaea,Fabales
2019_073,Chrysanthemum seticuspe,Asterales
2019_074,Avena atlantica,Poales
2019_075,Avena eriantha,Poales
2019_076,Pisum sativum,Fabales
2019_079,Fragaria xananassa,Rosales
2020_001,Spirodela intermedia,Alismatales
2020_002,Microthlaspi erraticum,Brassicales
2020_003,Roridula gorgonias,Ericales
2020_005,Kandelia obovata,Malpighiales
2020_006,Fragaria viridis,Rosales
2020_007,Brachypodium stacei,Poales
2020_008,Megadenia pygmaea,Brassicales
2020_009,Lobularia maritima,Brassicales
2020_011,Fragaria nilgerrensis,Rosales
2020_012,Fragaria nubicola,Rosales
2020_013,Poncirus trifoliata,Sapindales
2020_014,Draba nivalis,Brassicales
2020_015,Drosera spatulata,Caryophyllales
2020_016,Isatis indigotica,Brassicales
2020_017,Prunus salicina,Rosales
2020_018,Amphicarpaea edgeworthii,Fabales
2020_019,Dioscorea dumetorum,Dioscoreales
2020_020,Ficus erecta,Rosales
2020_021,Aquilegia oxysepala,Ranunculales
2020_022,Wolffia australiana,Alismatales
2020_024,Mangifera indica,Sapindales
2020_025,Tripterygium wilfordii,Celastrales
2020_026,Lithospermum erythrorhizon,Boraginales
2020_027,Ficus hispida,Rosales
2020_029,Carpinus fangiana,Fagales
2020_031,Setaria viridis,Poales
2020_032,Scutellaria barbata ,Lamiales
2020_034,Kobresia littledalei,Poales
2020_036,Ficus microcarpa,Rosales
2020_037,Populus ilicifolia,Malpighiales
2020_038,Lupinus albus,Fabales
2020_039,Avicennia marina,Lamiales
2020_040,Psidium guajava,Myrtales
2020_041,Averrhoa carambola,Oxalidales
2020_042,Nymphaea thermarum,Nymphaeales
2020_043,Oryza eichingeri,Poales
2020_045,Aldrovanda vesiculosa,Caryophyllales
2020_046,Brachypodium hybridum,Poales
2020_047,Rhododendron simsii,Ericales
2020_049,Callicarpa americana,Lamiales
2020_050,Cleistogenes songorica,Poales
2020_051,Senna tora,Fabales
2020_052,Clethra arborea,Ericales
2020_053,Gardenia jasminoides,Gentianales
2020_055,Sinapis alba,Brassicales
2020_056,Eruca sativa,Brassicales
2020_057,Chiococca alba,Gentianales
2020_059,Vigna mungo,Fabales
2020_060,Oryza rhizomatis,Poales
2020_062,Vitis amurensis,Vitales
2020_063,Dalbergia odorifera,Fabales
2020_064,Acer truncatum,Sapindales
2020_066,Malus sylvestris,Rosales
2020_067,Malus sieversii,Rosales
2020_069,Origanum vulgare,Lamiales
2020_071,Forsythia suspensa,Lamiales
2020_072,Eriobotrya japonica,Rosales
2020_073,Asparagus setaceus,Asparagales
2020_074,Euryale ferox,Nymphaeales
2020_075,Aquilaria sinensis,Malvales
2020_077,Chimonanthus praecox,Laurales
2020_078,Luffa acutangula,Cucurbitales
2020_079,Cladopus chinensis,Malpighiales
2020_080,Chimonanthus salicifolius,Laurales
2020_081,Strobilanthes cusia,Lamiales
2020_082,Lonicera japonica,Dipsacales
2020_085,Origanum majorana,Lamiales
2020_087,Megacarpaea delavayi,Brassicales
2020_088,Mesua ferrea,Malpighiales
2020_090,Simmondsia chinensis,Caryophyllales
2020_091,Trichosanthes anguina,Cucurbitales
2020_092,Eragrostis nindensis,Poales
2020_094,Davidia involucrata,Cornales
2020_095,Atriplex hortensis,Caryophyllales
2020_097,Rosmarinus officinalis,Lamiales
2020_098,Phtheirospermum japonicum,Lamiales
2020_099,Passiflora edulis,Malpighiales
2020_101,Gossypium longicalyx,Malvales
2020_103,Puccinellia tenuiflora,Poales
2020_104,Gossypium herbaceum,Malvales
2020_105,Coix lacryma-jobi,Poales
2020_106,Medicago sativa,Fabales
2020_109,Mikania micrantha,Asterales
2020_110,Cenchrus purpureus,Poales
2020_111,Gossypium darwinii,Malvales
2020_112,Gossypium tomentosum,Malvales
2020_114,Gossypium mustelinum,Malvales
2020_115,Ocimum basilicum,Lamiales
2020_116,Miscanthus sinensis,Poales
2020_117,Apium graveolens,Apiales
2020_120,Allium sativum,Asparagales
2021_004,Prunus sibirica,Rosales
2021_005,Prunus armeniaca,Rosales
2021_006,Prunus mandshurica ,Rosales
2021_007,Rubus chingii,Rosales
2021_008,Passiflora organensis,Malpighiales
2021_009,Thalictrum thalictroides,Ranunculales
2021_010,Gillenia trifoliata,Rosales
2021_014,Corylus heterophylla,Fagales
2021_015,Corymbia citriodora,Myrtales
2021_016,Corylus mandshurica,Fagales
2021_018,Aeschynomene evenia,Fabales
2021_019,Cucumis hystrix,Cucurbitales
2021_021,Centella asiatica,Apiales
2021_022,Betula platyphylla,Fagales
2021_023,Ophiorrhiza pumila,Gentianales
2021_024,Cynodon transvaalensis,Poales
2021_025,Rosa rugosa,Rosales
2021_027,Morinda officinalis,Gentianales
2021_028,Vaccinium microcarpum,Ericales
2021_029,Leptodermis oblonga,Gentianales
2021_030,Medicago polymorpha,Fabales
2021_033,Hamamelis virginiana,Saxifragales
2021_034,Toona sinensis,Sapindales
2021_036,Vaccinium myrtillus,Ericales
2021_037,Sechium edule,Cucurbitales
2021_038,Phaseolus lunatus,Fabales
2021_041,Collinsia rattanii,Lamiales
2021_042,Solanum appendiculatum,Solanales
2021_045,Jacaranda mimosifolia,Lamiales
2021_046,Cucumis hytivus,Cucurbitales
2021_047,Rhododendron griersonianum,Ericales
2021_048,Mitragyna speciosa,Gentianales
2021_051,Buddleja alternifolia,Lamiales
2021_052,Aegiceras corniculatum,Ericales
2021_053,Medicago ruthenica,Fabales
2021_054,Vitis rotundifolia,Vitales
2021_056,Coptis chinensis,Ranunculales
2021_058,Brassica carinata,Brassicales
2021_059,Stevia rebaudiana,Asterales
2021_060,Carthamus tinctorius,Asterales
2021_061,Panicum virgatum,Poales
2021_062,Prunus domestica,Rosales
2021_063,Selenicereus undatus,Caryophyllales
2021_066,Zizania palustris,Poales
2021_068,Miscanthus lutarioriparius,Poales
2021_071,Miscanthus floridulus,Poales
2021_073,Areca catechu,Arecales
2021_078,Cercidiphyllum japonicum,Saxifragales
2021_079,Phoebe bournei,Laurales
2021_080,Litsea cubeba,Laurales
2021_081,Ceratophyllum demersum,Ceratophyllales
2021_082,Nitraria sibirica,Sapindales
2021_083,Stellera chamaejasme ,Malvales
2021_084,Acanthochlamys bracteata,Asparagales
2021_085,Acorus calamus,Acorales
2021_086,Tetracentron sinense,Trochodendrales
2021_087,Buxus austro-yunnanensis,Buxales
2021_088,Chloranthus spicatus,Chloranthales
2021_089,Illicium verum,Austrobaileyales
2021_090,Aristolochia fimbriata,Piperales
2021_091,Dioscorea_alata,Dioscoreales
2021_092,Bruguiera parviflora,Malpighiales
2021_093,Phoebe zhennan,Magnoliids
